T_W1,T_W2,T_W3,T_W4
1147.96755791366,1147.96755791366,1213.88211971966,1215.70437456243
1147.96755934454,1147.96755934454,1213.87476658019,1215.69083828323
1147.96756075737,1147.96756075737,1213.86695367628,1215.67677702018
1147.96756215238,1147.96756215238,1213.85900598427,1215.66266315335
1147.96756352978,1147.96756352978,1213.8505859268,1215.64801541529
1147.9675648898,1147.9675648898,1213.84204536314,1215.633325488
1147.96756623266,1147.96756623266,1213.8330199176,1215.61809290187
1147.96756755858,1147.96756755858,1213.82388814731,1215.60282842736
1147.96756886777,1147.96756886777,1213.81425906674,1215.58701260867
1147.96757016045,1147.96757016045,1213.80453773924,1215.57117508638
1147.96757143681,1147.96757143681,1213.79430676437,1215.55477763933
1147.96757269708,1147.96757269708,1213.78399751358,1215.5383685551
1147.96757394145,1147.96757394145,1213.77316637299,1215.52139107266
1147.96757517012,1147.96757517012,1213.76227081754,1215.50441189887
1147.96757638329,1147.96757638329,1213.75084122777,1215.48685596294
1147.96757758116,1147.96757758116,1213.73936097119,1215.46930815868
1147.96757876392,1147.96757876392,1213.72733463684,1215.45117534014
1147.96757993176,1147.96757993177,1213.71527126772,1215.43306035138
1147.96758108488,1147.96758108488,1213.70264988158,1215.41435221023
1147.96758222345,1147.96758222345,1213.69000497374,1215.39567146994
1147.96758334766,1147.96758334766,1213.67679021693,1215.3763895554
1147.96758445769,1147.96758445769,1213.66356532961,1215.35714448375
1147.96758555372,1147.96758555372,1213.64975887167,1215.33729033436
1147.96758663593,1147.96758663593,1213.63595554971,1215.31748233885
1147.96758770449,1147.96758770449,1213.62155904871,1215.29705748258
1147.96758875958,1147.96758875958,1213.60717882268,1215.2766879582
1147.96758980136,1147.96758980136,1213.59219392536,1215.25569391252
1147.96759083001,1147.96759083001,1213.57723831179,1215.23476424192
1147.96759184568,1147.96759184568,1213.56166665364,1215.21320251393
1147.96759284855,1147.96759284855,1213.54613715511,1215.19171406753
1147.96759383877,1147.96759383877,1213.5299803605,1215.16958615404
1147.96759481651,1147.96759481651,1213.51387846589,1215.14754029022
